genes,t_stats,p_values,fdr_corrected_p
BIRC3,-0.1421051623214777,0.8871161596920061,0.9763984461847085
AGAP2,-0.8716175047677137,0.38428815868309774,0.8684364720907436
CRCT1,2.005315195280291,0.046052215980871634,0.5411975746657177
C1orf109,2.290612032833184,0.02285372550240396,0.409246601155016
EID2B,0.832190577018949,0.4061286639901799,0.8684364720907436
TBC1D10C,0.6351513175301141,0.5259348076401875,0.9126074361960694
CMC4,1.0122767310373215,0.3124251967163179,0.827294381660711
HAUS5,0.0244984489189074,0.9804753777579489,0.9928084013775458
RAE1,1.604087499964091,0.1100098824877323,0.7052575556013689
PRG2,0.2668184637815783,0.789838052196753,0.9677277617569142
CHAD,-0.25197743001605405,0.8012741542695472,0.9677277617569142
P2RY6,-0.21297789894333805,0.8315249954618591,0.9738202353109606
RTN4RL2,-0.254114791306596,0.7996244541071098,0.9677277617569142
ANP32E,0.27324437966600135,0.7849003517786788,0.9677277617569142
CNTN5,-1.1688823098110028,0.24361072419339955,0.8086871462914913
TRPC6,0.6166360254082688,0.5380593064346048,0.9179646928674411
APCS,-0.7180210843868664,0.4734426409234156,0.8903861613181947
PTCH2,-0.04997585866196489,0.9601831926602923,0.9853233834523528
ST3GAL3,0.2691223647734737,0.7880667370910621,0.9677277617569142
RTL10,-0.08402958289714099,0.933102959073673,0.9794916357866792
TARS2,-2.8270645464270228,0.005093940937612107,0.2485225730168331
UNC13D,-0.0900562284624159,0.9283176429765694,0.9794916357866792
PTP4A1,1.5821069841764805,0.11494204671874475,0.7052575556013689
MRPL27,-1.2552875630561848,0.2105952374613552,0.7723424426259268
IFI27L1,-1.1232219487460402,0.26246555904252417,0.827294381660711
DNM1L,-2.5398505005515224,0.011721928733384948,0.3453847165597089
TFRC,-0.8633237377136517,0.38882141852007623,0.8684364720907436
CHRDL2,2.102127244744134,0.03658447949473765,0.507767344711445
FAM217B,1.3579324317917687,0.17576039272208677,0.7189762992715542
MYCBPAP,-0.8120733577411102,0.41755425999293605,0.8719356142524345
PHF3,1.8913449245248213,0.05978250674060583,0.6119508093736731
GJA8,-1.981423249439724,0.04868508594385153,0.5442627365836293
HOXC8,-1.7395184019506207,0.08322566619498359,0.6605192321722487
TM4SF19,-1.9907695334611708,0.047640366439827914,0.5426956653874072
PRICKLE1,1.1379313289681694,0.25628385971157974,0.8213068073870673
CD22,0.3659109378529197,0.7147538551947414,0.9507085399421508
ALG12,1.6155457128192279,0.10750634828440404,0.7014515494709797
EVI5,0.18963890485979712,0.8497523855635043,0.9754280510779714
MARS1,1.0203824997526216,0.3085745502397865,0.827294381660711
BORCS8,2.4558190157225672,0.014766259585736605,0.3673445381008695
FCRL4,-1.2379122760251162,0.21695820565305515,0.7843391389805684
RNF31,1.3146598092059987,0.1898791472205786,0.7331065396286128
NCAN,0.7059283478781679,0.4809173659440117,0.8924052584267674
MYO1A,-0.2518555046326237,0.8013682880790991,0.9677277617569142
KCTD15,-0.18668384635253352,0.8520662297263784,0.9763984461847085
LYSMD1,0.10686081199281389,0.914988673463786,0.9794916357866792
MARK2,-0.30389587777558924,0.7614705229518168,0.9673470204671337
DLX4,0.7687275427477749,0.44281086682629633,0.8877486539482193
SLC39A4,1.4887974129818662,0.13785355165437685,0.7189762992715542
HORMAD1,-0.6681564882062992,0.5046757604198472,0.9048195704632004
LRRD1,-0.33215068623288924,0.7400653792275302,0.9623004144999464
SOX2,-1.2196938632764556,0.22377819285086573,0.7884262967277876
HDGFL1,-1.0585534792662314,0.290867417063262,0.827294381660711
DCAF11,-0.08706517956529039,0.9306922998805816,0.9794916357866792
PPIL1,-0.22606051333344612,0.8213467558413949,0.9729668387733467
GRK2,-1.8716939759261955,0.06246536153115361,0.6119508093736731
CABLES1,0.5860499311646507,0.5583926941721922,0.9202477346414158
SNRNP40,-0.08559049835986814,0.9318633103346987,0.9794916357866792
PGAP3,-1.1137483858074775,0.2665013147869746,0.827294381660711
TUBB1,0.38065962058346603,0.7037925430145777,0.9507085399421508
P2RX6,-1.3863620127801304,0.16692293446603002,0.7189762992715542
ATP5F1B,-2.4258929247788283,0.016008976777768198,0.36820646588866857
YPEL1,-0.011577810637605065,0.9907720682895411,0.9957197440363054
MRPL58,-1.3929701391139346,0.16491774236261378,0.7189762992715542
BHLHA15,0.4876214568522935,0.6262631207239324,0.932732307461176
P2RX3,1.7617195636327623,0.07938987034298488,0.6481079158535112
GAPDHS,0.5146648997349451,0.6072608360376742,0.9242296824615955
